Chunk_ID,Size_Bytes,SignTime_uS,VerifyTime_uS,Valid
1,4096,293,685.20,True
2,4096,110,164.50,True
3,4096,94,675.60,True
4,4096,132,287.00,True
5,4096,97,541.60,True
6,4096,136,265.50,True
7,4096,105,212.90,True
8,4096,135,400.40,True
9,4096,103,510.20,True
10,4096,102,386.80,True
11,4096,135,192.20,True
12,4096,106,130.40,True
13,4096,134,333.00,True
14,4096,94,366.80,True
15,4096,133,245.10,True
16,4096,137,129.10,True
17,4096,134,210.20,True
18,4096,134,437.30,True
19,4096,134,224.20,True
20,4096,133,170.00,True
21,4096,136,369.10,True
22,4096,133,265.80,True
23,4096,134,450.10,True
24,4096,130,130.30,True
25,4096,132,726.70,True
26,4096,134,400.80,True
27,4096,130,488.20,True
28,4096,133,368.20,True
29,4096,151,451.00,True
30,4096,123,322.70,True
31,4096,123,216.80,True
32,4096,131,362.90,True
33,4096,100,473.50,True
34,4096,132,367.90,True
35,4096,130,290.70,True
36,4096,132,362.40,True
37,4096,128,288.80,True
38,4096,126,265.30,True
39,4096,137,335.90,True
40,4096,124,142.40,True
41,4096,123,286.80,True
42,4096,129,150.60,True
43,4096,99,246.10,True
44,4096,127,365.60,True
45,4096,111,432.40,True
46,4096,131,297.90,True
47,4096,99,331.10,True
48,4096,130,287.00,True
49,4096,97,252.90,True
50,4096,129,308.30,True
51,4096,104,178.10,True
52,4096,134,269.80,True
53,4096,109,492.40,True
54,4096,131,311.50,True
55,4096,114,167.10,True
56,4096,92,105.00,True
57,4096,98,114.50,True
58,4096,96,107.40,True
59,4096,90,118.80,True
60,4096,88,292.30,True
61,4096,89,155.40,True
62,4096,89,106.90,True
63,4096,133,369.70,True
64,4096,134,267.10,True
65,4096,114,377.50,True
66,4096,130,377.50,True
67,4096,134,283.50,True
68,4096,127,268.40,True
69,4096,130,332.10,True
70,4096,134,128.70,True
71,4096,128,355.90,True
72,4096,139,265.00,True
73,4096,125,534.70,True
74,4096,134,176.00,True
75,4096,99,453.30,True
76,4096,131,285.70,True
77,4096,110,440.80,True
78,4096,132,189.20,True
79,4096,105,358.80,True
80,4096,127,384.80,True
81,4096,96,449.20,True
82,4096,91,272.40,True
83,4096,130,182.70,True
84,4096,96,140.50,True
85,4096,129,566.80,True
86,4096,109,127.10,True
87,4096,132,332.40,True
88,4096,131,125.50,True
89,4096,132,365.80,True
90,4096,99,378.60,True
91,4096,130,454.10,True
92,4096,109,131.20,True
93,4096,132,454.60,True
94,4096,111,345.70,True
95,4096,137,456.80,True
96,4096,97,177.50,True
97,4096,129,466.70,True
98,4096,104,134.50,True
99,4096,132,462.10,True
100,4096,109,378.20,True
101,4096,131,282.20,True
102,4096,113,280.30,True
103,4096,132,448.90,True
104,4096,128,147.20,True
105,4096,130,180.10,True
106,4096,100,184.10,True
107,4096,132,453.80,True
108,4096,98,178.30,True
109,4096,132,229.30,True
110,4096,110,130.10,True
111,4096,128,179.90,True
112,4096,111,204.90,True
113,4096,133,450.70,True
114,4096,145,357.40,True
115,4096,98,452.20,True
116,4096,177,379.90,True
117,4096,95,185.50,True
118,4096,93,131.30,True
119,4096,92,181.20,True
120,4096,94,106.80,True
121,4096,95,122.50,True
122,4096,93,118.70,True
123,4096,92,115.40,True
124,4096,92,130.90,True
125,4096,93,310.60,True
126,4096,91,240.10,True
127,4096,133,403.30,True
128,4096,133,359.80,True
129,4096,148,182.20,True
130,4096,137,403.60,True
131,4096,92,572.10,True
132,4096,133,364.90,True
133,4096,97,448.60,True
134,4096,133,171.50,True
135,4096,98,271.20,True
136,4096,129,272.10,True
137,4096,98,294.20,True
138,4096,135,155.60,True
139,4096,98,467.10,True
140,4096,132,333.30,True
141,4096,99,446.10,True
142,4096,134,379.30,True
143,4096,97,185.90,True
144,4096,129,319.90,True
145,4096,92,454.40,True
146,4096,135,130.40,True
147,4096,102,157.40,True
148,4096,96,158.60,True
149,4096,132,365.60,True
150,4096,92,171.30,True
151,4096,136,336.90,True
152,4096,99,357.60,True
153,4096,93,334.00,True
154,4096,131,323.70,True
155,4096,98,452.60,True
156,4096,131,386.00,True
157,4096,99,176.50,True
158,4096,130,327.90,True
159,4096,98,556.50,True
160,4096,130,265.10,True
161,4096,99,300.60,True
162,4096,94,361.80,True
163,4096,128,588.20,True
164,4096,99,365.10,True
165,4096,133,429.20,True
166,4096,98,308.70,True
167,4096,132,394.90,True
168,4096,99,359.20,True
169,4096,129,192.60,True
170,4096,99,181.40,True
171,4096,132,279.80,True
172,4096,92,392.80,True
173,4096,133,484.90,True
174,4096,99,373.90,True
175,4096,133,415.70,True
176,4096,99,266.30,True
177,4096,132,342.50,True
178,4096,99,109.70,True
179,4096,92,409.00,True
180,4096,136,289.30,True
181,4096,92,436.80,True
182,4096,132,378.50,True
183,4096,100,213.70,True
184,4096,133,305.50,True
185,4096,98,349.10,True
186,4096,95,165.20,True
187,4096,92,117.90,True
188,4096,93,104.70,True
189,4096,92,117.50,True
190,4096,92,107.40,True
191,4096,93,122.30,True
192,4096,92,104.60,True
193,4096,92,389.70,True
194,4096,132,128.20,True
195,4096,139,550.80,True
196,4096,96,270.40,True
197,4096,128,269.40,True
198,4096,133,132.80,True
199,4096,132,380.50,True
200,4096,108,164.10,True
201,4096,131,295.90,True
202,4096,111,299.00,True
203,4096,130,443.70,True
204,4096,105,309.10,True
205,4096,132,488.60,True
206,4096,109,130.90,True
207,4096,130,452.70,True
208,4096,96,362.70,True
209,4096,129,374.10,True
210,4096,108,357.40,True
211,4096,130,338.30,True
212,4096,108,315.90,True
213,4096,131,417.80,True
214,4096,113,469.70,True
215,4096,129,431.50,True
216,4096,111,133.40,True
217,4096,130,181.60,True
218,4096,111,108.30,True
219,4096,92,534.10,True
220,4096,134,227.20,True
221,4096,108,448.30,True
222,4096,135,335.30,True
223,4096,108,468.40,True
224,4096,130,381.50,True
225,4096,108,395.60,True
226,4096,127,134.90,True
227,4096,98,557.10,True
228,4096,130,360.80,True
229,4096,111,338.00,True
230,4096,132,133.00,True
231,4096,110,189.80,True
232,4096,131,362.70,True
233,4096,109,454.70,True
234,4096,129,129.70,True
235,4096,115,447.70,True
236,4096,130,365.40,True
237,4096,110,433.80,True
238,4096,129,433.50,True
239,4096,107,475.30,True
240,4096,130,385.90,True
241,4096,131,328.40,True
242,4096,137,257.80,True
243,4096,112,156.50,True
244,4096,93,378.70,True
245,4096,132,463.70,True
246,4096,110,333.90,True
247,4096,133,278.90,True
248,4096,114,275.10,True
249,4096,157,249.90,True
250,4096,99,113.40,True
251,4096,102,134.70,True
252,4096,94,105.20,True
253,4096,93,129.70,True
254,4096,93,106.40,True
255,4096,93,119.20,True
256,4096,92,109.40,True
257,4096,94,136.70,True
258,4096,92,142.40,True
259,4096,137,465.30,True
260,4096,136,355.90,True
261,4096,93,225.50,True
262,4096,132,356.90,True
263,4096,137,543.00,True
264,4096,134,321.50,True
265,4096,138,307.00,True
266,4096,93,129.40,True
267,4096,129,401.00,True
268,4096,105,135.50,True
269,4096,133,459.10,True
270,4096,116,130.10,True
271,4096,134,284.60,True
272,4096,134,357.40,True
273,4096,130,498.60,True
274,4096,110,323.90,True
275,4096,134,331.50,True
276,4096,109,348.00,True
277,4096,135,250.30,True
278,4096,143,128.80,True
279,4096,133,180.00,True
280,4096,131,363.90,True
281,4096,134,325.60,True
282,4096,126,332.20,True
283,4096,133,211.50,True
284,4096,127,301.30,True
285,4096,135,225.80,True
286,4096,129,290.20,True
287,4096,134,176.90,True
288,4096,131,282.60,True
289,4096,130,330.70,True
290,4096,132,264.90,True
291,4096,134,327.20,True
292,4096,130,352.40,True
293,4096,132,181.90,True
294,4096,134,309.90,True
295,4096,141,543.90,True
296,4096,137,354.10,True
297,4096,103,362.90,True
298,4096,178,358.50,True
299,4096,161,453.80,True
300,4096,182,302.90,True
301,4096,170,367.30,True
302,4096,181,364.30,True
303,4096,144,204.50,True
304,4096,181,363.50,True
305,4096,145,339.90,True
306,4096,179,291.70,True
307,4096,146,469.10,True
308,4096,178,267.90,True
309,4096,145,450.80,True
310,4096,177,365.40,True
311,4096,144,180.10,True
312,4096,138,107.00,True
313,4096,137,141.90,True
314,4096,137,105.10,True
315,4096,137,115.30,True
316,4096,136,106.70,True
317,4096,136,114.80,True
318,4096,134,115.30,True
319,4096,135,464.70,True
320,4096,181,255.30,True
321,4096,179,355.30,True
322,4096,183,353.90,True
323,4096,145,402.90,True
324,4096,164,361.50,True
325,4096,162,451.70,True
326,4096,144,357.40,True
327,4096,167,405.50,True
328,4096,140,228.60,True
329,4096,166,443.70,True
330,4096,142,264.70,True
331,4096,164,459.10,True
332,4096,141,471.70,True
333,4096,162,266.50,True
334,4096,140,252.50,True
335,4096,160,391.60,True
336,4096,141,372.20,True
337,4096,161,334.30,True
338,4096,139,126.50,True
339,4096,162,453.80,True
340,4096,141,346.50,True
341,4096,160,186.00,True
342,4096,157,250.50,True
343,4096,138,366.00,True
344,4096,168,199.70,True
345,4096,143,439.10,True
346,4096,166,129.70,True
347,4096,141,221.30,True
348,4096,162,310.00,True
349,4096,141,237.30,True
350,4096,186,182.60,True
351,4096,144,275.50,True
352,4096,161,266.90,True
353,4096,142,192.10,True
354,4096,175,331.30,True
355,4096,142,472.00,True
356,4096,162,368.30,True
357,4096,142,606.80,True
358,4096,165,358.50,True
359,4096,142,330.80,True
360,4096,178,365.80,True
361,4096,148,220.60,True
362,4096,183,160.30,True
363,4096,142,451.30,True
364,4096,162,358.30,True
365,4096,162,335.20,True
366,4096,165,384.70,True
367,4096,144,176.10,True
368,4096,165,131.00,True
369,4096,142,446.20,True
370,4096,166,263.60,True
371,4096,142,303.20,True
372,4096,164,136.20,True
373,4096,142,341.90,True
374,4096,161,150.60,True
375,4096,141,158.10,True
376,4096,139,106.30,True
377,4096,135,117.20,True
378,4096,139,105.90,True
379,4096,135,116.00,True
380,4096,136,105.10,True
381,4096,134,116.30,True
382,4096,135,135.60,True
383,4096,134,455.00,True
384,4096,162,357.50,True
385,4096,177,327.50,True
386,4096,180,154.10,True
387,4096,141,453.40,True
388,4096,161,364.70,True
389,4096,163,356.20,True
390,4096,143,379.00,True
391,4096,162,579.80,True
392,4096,140,365.10,True
393,4096,159,467.40,True
394,4096,142,359.50,True
395,4096,159,239.50,True
396,4096,140,377.00,True
397,4096,163,329.50,True
398,4096,163,233.90,True
399,4096,140,451.60,True
400,4096,161,319.00,True
401,4096,149,445.30,True
402,4096,168,215.00,True
403,4096,169,295.30,True
404,4096,176,379.70,True
405,4096,162,323.80,True
406,4096,175,145.50,True
407,4096,138,226.40,True
408,4096,160,433.80,True
409,4096,143,190.20,True
410,4096,178,345.50,True
411,4096,143,447.10,True
412,4096,174,340.50,True
413,4096,140,177.70,True
414,4096,164,296.00,True
415,4096,139,403.10,True
416,4096,162,537.30,True
417,4096,140,184.60,True
418,4096,159,357.70,True
419,4096,182,456.70,True
420,4096,164,154.20,True
421,4096,140,453.00,True
422,4096,159,334.10,True
423,4096,142,419.80,True
424,4096,162,363.30,True
425,4096,142,458.70,True
426,4096,180,154.40,True
427,4096,139,209.10,True
428,4096,165,362.70,True
429,4096,142,532.20,True
430,4096,166,171.90,True
431,4096,139,480.70,True
432,4096,162,266.60,True
433,4096,140,365.60,True
434,4096,163,391.20,True
435,4096,141,210.20,True
436,4096,137,154.40,True
437,4096,158,239.40,True
438,4096,140,110.30,True
439,4096,138,173.90,True
440,4096,136,108.40,True
441,4096,137,117.60,True
442,4096,135,109.80,True
443,4096,136,116.60,True
444,4096,135,105.50,True
445,4096,134,123.50,True
446,4096,136,194.50,True
447,4096,217,450.10,True
448,4096,173,129.40,True
449,4096,2657,283.90,True
450,4096,152,277.80,True
451,4096,169,181.50,True
452,4096,183,327.60,True
453,4096,163,425.70,True
454,4096,177,286.10,True
455,4096,150,441.90,True
456,4096,181,321.10,True
457,4096,146,175.80,True
458,4096,178,359.00,True
459,4096,270,534.00,True
460,4096,191,470.00,True
461,4096,150,513.90,True
462,4096,179,259.10,True
463,4096,187,442.30,True
464,4096,149,128.20,True
465,4096,179,183.30,True
466,4096,149,130.30,True
467,4096,220,636.70,True
468,4096,136,182.10,True
469,4096,167,398.20,True
470,4096,142,271.70,True
471,4096,181,521.40,True
472,4096,149,366.00,True
473,4096,192,216.30,True
474,4096,149,363.20,True
475,4096,183,375.10,True
476,4096,145,361.30,True
477,4096,176,178.30,True
478,4096,145,397.60,True
479,4096,171,239.00,True
480,4096,147,258.20,True
481,4096,177,454.90,True
482,4096,234,553.60,True
483,4096,150,175.80,True
484,4096,184,362.10,True
485,4096,141,172.80,True
486,4096,178,132.10,True
487,4096,139,523.10,True
488,4096,237,357.20,True
489,4096,150,474.80,True
490,4096,190,361.80,True
491,4096,150,547.60,True
492,4096,185,311.70,True
493,4096,140,354.40,True
494,4096,178,445.60,True
495,4096,140,257.80,True
496,4096,180,160.40,True
497,4096,138,450.40,True
498,4096,239,359.90,True
499,4096,148,270.30,True
500,4096,147,244.80,True
501,4096,140,181.30,True
502,4096,135,107.70,True
503,4096,145,115.70,True
504,4096,132,104.40,True
505,4096,130,116.50,True
506,4096,132,104.80,True
507,4096,135,115.90,True
508,4096,132,330.50,True
509,4096,185,513.20,True
510,4096,174,352.90,True
511,4096,178,404.40,True
512,4096,142,129.60,True
513,4096,176,608.00,True
514,4096,190,360.40,True
515,4096,164,510.90,True
516,4096,183,357.80,True
517,4096,145,186.00,True
518,4096,182,416.80,True
519,4096,151,515.00,True
520,4096,176,129.10,True
521,4096,147,179.60,True
522,4096,180,359.50,True
523,4096,138,440.80,True
524,4096,176,127.60,True
525,4096,139,444.50,True
526,4096,176,288.00,True
527,4096,139,451.90,True
528,4096,180,396.50,True
529,4096,150,218.20,True
530,4096,177,280.00,True
531,4096,144,385.90,True
532,4096,190,130.10,True
533,4096,152,435.10,True
534,4096,231,130.80,True
535,4096,152,430.30,True
536,4096,182,328.30,True
537,4096,150,176.60,True
538,4096,229,360.70,True
539,4096,143,406.20,True
540,4096,182,409.90,True
541,4096,139,181.30,True
542,4096,177,264.90,True
543,4096,138,183.80,True
544,4096,232,359.90,True
545,4096,148,260.50,True
546,4096,180,136.40,True
547,4096,141,561.30,True
548,4096,182,347.20,True
549,4096,140,590.70,True
550,4096,232,446.60,True
551,4096,149,284.20,True
552,4096,181,129.40,True
553,4096,151,424.90,True
554,4096,176,291.50,True
555,4096,183,451.80,True
556,4096,139,361.10,True
557,4096,245,243.60,True
558,4096,147,192.90,True
559,4096,182,250.70,True
560,4096,149,183.10,True
561,4096,176,234.40,True
562,4096,146,121.70,True
563,4096,143,120.80,True
564,4096,137,114.80,True
565,4096,141,121.90,True
566,4096,136,103.50,True
567,4096,136,119.10,True
568,4096,134,104.60,True
569,4096,135,151.50,True
570,4096,136,363.90,True
571,4096,181,318.50,True
572,4096,181,359.90,True
573,4096,183,396.10,True
574,4096,138,210.00,True
575,4096,192,459.00,True
576,4096,150,264.20,True
577,4096,246,331.10,True
578,4096,152,427.50,True
579,4096,179,233.30,True
580,4096,146,353.70,True
581,4096,177,333.30,True
582,4096,143,310.00,True
583,4096,182,465.50,True
584,4096,153,217.70,True
585,4096,174,265.10,True
586,4096,152,133.30,True
587,4096,169,176.50,True
588,4096,151,311.60,True
589,4096,175,220.90,True
590,4096,195,131.30,True
591,4096,139,185.30,True
592,4096,176,360.00,True
593,4096,141,169.80,True
594,4096,179,438.70,True
595,4096,140,601.40,True
596,4096,179,197.20,True
597,4096,140,228.10,True
598,4096,180,314.50,True
599,4096,137,299.50,True
600,4096,133,568.20,True
601,4096,185,251.90,True
602,4096,138,129.50,True
603,4096,188,551.10,True
604,4096,137,360.40,True
605,4096,175,390.90,True
606,4096,138,265.90,True
607,4096,177,458.40,True
608,4096,139,268.50,True
609,4096,189,240.00,True
610,4096,158,392.60,True
611,4096,247,263.30,True
612,4096,158,370.60,True
613,4096,224,460.00,True
614,4096,146,358.90,True
615,4096,180,510.50,True
616,4096,141,186.50,True
617,4096,177,456.80,True
618,4096,142,362.70,True
619,4096,173,179.20,True
620,4096,139,129.60,True
621,4096,176,311.00,True
622,4096,199,267.60,True
623,4096,181,451.40,True
624,4096,138,361.40,True
625,4096,176,328.40,True
626,4096,139,237.60,True
627,4096,133,245.50,True
628,4096,131,106.80,True
629,4096,132,116.80,True
630,4096,131,105.60,True
631,4096,130,116.00,True
632,4096,131,114.40,True
633,4096,131,117.10,True
634,4096,130,129.30,True
635,4096,177,187.70,True
636,4096,265,380.90,True
637,4096,193,179.40,True
638,4096,151,363.30,True
639,4096,179,444.80,True
640,4096,159,185.60,True
641,4096,237,451.50,True
642,4096,182,239.30,True
643,4096,153,458.70,True
644,4096,180,311.70,True
645,4096,147,239.90,True
646,4096,197,373.90,True
647,4096,151,446.50,True
648,4096,183,355.90,True
649,4096,141,179.70,True
650,4096,183,235.10,True
651,4096,175,181.90,True
652,4096,137,264.80,True
653,4096,179,180.80,True
654,4096,170,130.00,True
655,4096,174,452.50,True
656,4096,144,128.50,True
657,4096,178,269.10,True
658,4096,138,359.70,True
659,4096,176,273.70,True
660,4096,138,356.20,True
661,4096,177,634.50,True
662,4096,137,344.80,True
663,4096,190,480.00,True
664,4096,160,264.70,True
665,4096,179,177.10,True
666,4096,148,407.30,True
667,4096,218,465.90,True
668,4096,140,255.90,True
669,4096,157,178.00,True
670,4096,133,410.90,True
671,4096,152,448.20,True
672,4096,133,356.60,True
673,4096,184,549.90,True
674,4096,145,414.70,True
675,4096,184,445.40,True
676,4096,145,361.50,True
677,4096,172,216.70,True
678,4096,140,128.10,True
679,4096,184,390.10,True
680,4096,143,359.70,True
681,4096,175,365.00,True
682,4096,157,184.40,True
683,4096,174,399.80,True
684,4096,135,197.40,True
685,4096,173,225.10,True
686,4096,134,340.70,True
687,4096,188,327.10,True
688,4096,144,290.00,True
689,4096,137,133.80,True
690,4096,135,106.20,True
691,4096,141,158.10,True
692,4096,136,106.10,True
693,4096,134,114.10,True
694,4096,133,106.00,True
695,4096,134,119.10,True
696,4096,134,103.80,True
697,4096,136,206.10,True
698,4096,241,363.50,True
699,4096,180,306.90,True
700,4096,186,406.60,True
701,4096,182,197.30,True
702,4096,152,378.90,True
703,4096,183,457.50,True
704,4096,154,128.20,True
705,4096,180,332.50,True
706,4096,149,360.30,True
707,4096,182,413.30,True
708,4096,154,327.80,True
709,4096,192,244.00,True
710,4096,147,250.20,True
711,4096,179,223.50,True
712,4096,147,185.10,True
713,4096,181,431.30,True
714,4096,148,130.20,True
715,4096,180,332.80,True
716,4096,149,266.50,True
